Emp ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,dept,salary,Attrition
1,0.38,0.53,2,157,3,0,0,sales,low,Yes
2,0.8,0.86,5,262,6,0,0,sales,medium,Yes
3,0.11,0.88,7,272,4,0,0,sales,medium,Yes
4,0.72,0.87,5,223,5,0,0,sales,low,Yes
5,0.37,0.52,2,159,3,0,0,sales,low,Yes
6,0.41,0.5,2,153,3,0,0,sales,low,Yes
7,0.1,0.77,6,247,4,0,0,sales,low,Yes
8,0.92,0.85,5,259,5,0,0,sales,low,Yes
9,0.89,1,5,224,5,0,0,sales,low,Yes
10,0.42,0.53,2,142,3,0,0,sales,low,Yes
11,0.45,0.54,2,135,3,0,0,sales,low,Yes
12,0.11,0.81,6,305,4,0,0,sales,low,Yes
13,0.84,0.92,4,234,5,0,0,sales,low,Yes
14,0.41,0.55,2,148,3,0,0,sales,low,Yes
15,0.36,0.56,2,137,3,0,0,sales,low,Yes
16,0.38,0.54,2,143,3,0,0,sales,low,Yes
17,0.45,0.47,2,160,3,0,0,sales,low,Yes
18,0.78,0.99,4,255,6,0,0,sales,low,Yes
19,0.45,0.51,2,160,3,1,1,sales,low,Yes
20,0.76,0.89,5,262,5,0,0,sales,low,Yes
21,0.11,0.83,6,282,4,0,0,sales,low,Yes
22,0.38,0.55,2,147,3,0,0,sales,low,Yes
23,0.09,0.95,6,304,4,0,0,sales,low,Yes
24,0.46,0.57,2,139,3,0,0,sales,low,Yes
25,0.4,0.53,2,158,3,0,0,sales,low,Yes
26,0.89,0.92,5,242,5,0,0,sales,low,Yes
27,0.82,0.87,4,239,5,0,0,sales,low,Yes
28,0.4,0.49,2,135,3,0,0,sales,low,Yes
29,0.41,0.46,2,128,3,0,0,accounting,low,Yes
30,0.38,0.5,2,132,3,0,0,accounting,low,Yes
31,0.09,0.62,6,294,4,0,0,accounting,low,Yes
32,0.45,0.57,2,134,3,0,0,hr,low,Yes
33,0.4,0.51,2,145,3,0,0,hr,low,Yes
34,0.45,0.55,2,140,3,0,0,hr,low,Yes
35,0.84,0.87,4,246,6,0,0,hr,low,Yes
36,0.1,0.94,6,255,4,0,0,technical,low,Yes
37,0.38,0.46,2,137,3,0,0,technical,low,Yes
38,0.45,0.5,2,126,3,0,0,technical,low,Yes
39,0.11,0.89,6,306,4,0,0,technical,low,Yes
40,0.41,0.54,2,152,3,0,0,technical,low,Yes
41,0.87,0.88,5,269,5,0,0,technical,low,Yes
42,0.45,0.48,2,158,3,0,0,technical,low,Yes
43,0.4,0.46,2,127,3,0,0,technical,low,Yes
44,0.1,0.8,7,281,4,0,0,technical,low,Yes
45,0.09,0.89,6,276,4,0,0,technical,low,Yes
46,0.84,0.74,3,182,4,0,0,technical,low,Yes
47,0.4,0.55,2,147,3,0,0,support,low,Yes
48,0.57,0.7,3,273,6,0,0,support,low,Yes
49,0.4,0.54,2,148,3,0,0,support,low,Yes
50,0.43,0.47,2,147,3,0,0,support,low,Yes
51,0.13,0.78,6,152,2,0,0,support,low,Yes
52,0.44,0.55,2,135,3,0,0,support,low,Yes
53,0.38,0.55,2,134,3,0,0,support,low,Yes
54,0.39,0.54,2,132,3,0,0,support,low,Yes
55,0.1,0.92,7,307,4,0,0,support,low,Yes
56,0.37,0.46,2,140,3,0,0,support,low,Yes
57,0.11,0.94,7,255,4,0,0,support,low,Yes
58,0.1,0.81,6,309,4,0,0,technical,low,Yes
59,0.38,0.54,2,128,3,0,0,technical,low,Yes
60,0.85,1,4,225,5,0,0,technical,low,Yes
61,0.85,0.91,5,226,5,0,0,management,medium,Yes
62,0.11,0.93,7,308,4,0,0,IT,medium,Yes
